"window_start","window_end","sector","strength_abs"
"2018-06-20","2019-06-20","XLK",0.51739703660523
"2018-07-20","2019-07-22","XLK",0.471924461533883
"2018-08-20","2019-08-20","XLK",0.735223008293035
"2018-09-19","2019-09-19","XLK",0.796840533519359
"2018-10-18","2019-10-18","XLK",0.737874371969561
"2018-11-16","2019-11-18","XLK",0.416551756923163
"2018-12-19","2019-12-18","XLK",0.0559828501929802
"2019-01-22","2020-01-21","XLB",0
"2019-02-21","2020-02-20","XLB",0
"2019-03-22","2020-03-20","XLF",1.11306421521164
"2019-04-23","2020-04-21","XLF",1.17785818587195
"2019-05-22","2020-05-20","XLF",1.1788246157879
"2019-06-21","2020-06-19","XLF",1.17487746230054
"2019-07-23","2020-07-21","XLF",1.16967395440749
"2019-08-21","2020-08-19","XLF",1.14669037473591
"2019-09-20","2020-09-18","XLF",1.13206767305291
"2019-10-21","2020-10-19","XLF",1.13195270339713
"2019-11-19","2020-11-17","XLF",1.12914829635438
"2019-12-19","2020-12-17","XLF",1.14132371818848
"2020-01-22","2021-01-20","XLF",1.12941433883549
"2020-02-21","2021-02-19","XLF",1.13004116057638
"2020-03-23","2021-03-22","XLF",0.961421226834396
"2020-04-22","2021-04-21","XLE",0.940878639608901
"2020-05-21","2021-05-20","XLE",0.760649732378374
"2020-06-22","2021-06-21","XLE",0.609685347943317
"2020-07-22","2021-07-21","XLE",0.557284982519038
"2020-08-20","2021-08-19","XLE",0.55929529370442
"2020-09-21","2021-09-20","XLE",0.571497125895728
"2020-10-20","2021-10-19","XLE",0.546164969387861
"2020-11-18","2021-11-17","XLE",0.18293191908697
"2020-12-18","2021-12-17","XLE",0.186738598911496
"2021-01-21","2022-01-19","XLE",0.151923815947576
"2021-02-22","2022-02-17","XLK",0.151501092531443
"2021-03-23","2022-03-21","XLK",0.237078307953958
"2021-04-22","2022-04-20","XLK",0.301575572586316
"2021-05-21","2022-05-19","XLY",0.65001806334306
"2021-06-22","2022-06-21","XLY",0.877388152623956
"2021-07-22","2022-07-21","XLK",0.91959660942305
"2021-08-20","2022-08-19","XLK",0.977082562919889
"2021-09-21","2022-09-20","XLK",1.03138073364082
"2021-10-20","2022-10-19","XLK",1.03543918443229
"2021-11-18","2022-11-17","XLK",1.13818403087364
"2021-12-20","2022-12-19","XLK",1.2177878683976
"2022-01-20","2023-01-20","XLK",1.22427285646201
"2022-02-18","2023-02-21","XLK",1.17999743186136
"2022-03-22","2023-03-22","XLK",1.15998127953772
"2022-04-21","2023-04-21","XLK",1.14104501974989
"2022-05-20","2023-05-22","XLK",0.978099687055673
"2022-06-22","2023-06-22","XLK",0.782640018709055
"2022-07-22","2023-07-24","XLK",0.747354340555461
"2022-08-22","2023-08-22","XLK",0.695405605792635
"2022-09-21","2023-09-21","XLK",0.603152165324344
"2022-10-20","2023-10-20","XLK",0.416146952428782
"2022-11-18","2023-11-20","XLY",0.196843045565391
"2022-12-20","2023-12-20","XLY",0.108235842243589
"2023-01-23","2024-01-23","XLY",0.01441462639839
"2023-02-22","2024-02-22","XLB",0
"2023-03-23","2024-03-22","XLB",0
"2023-04-24","2024-04-23","XLB",0
"2023-05-23","2024-05-22","XLB",0
"2023-06-23","2024-06-24","XLB",0
"2023-07-25","2024-07-24","XLB",0
"2023-08-23","2024-08-22","XLK",0.0176787321488514
"2023-09-22","2024-09-23","XLK",0.0312725207637848
"2023-10-23","2024-10-22","XLK",0.000528740364940321
"2023-11-21","2024-11-20","XLB",0
"2023-12-21","2024-12-20","XLK",0.013948877129233
"2024-01-24","2025-01-24","XLK",0.0261532017615178
"2024-02-23","2025-02-25","XLK",0.0144928843491176
"2024-03-25","2025-03-26","XLK",0.0914114019831431
"2024-04-24","2025-04-25","XLK",0.700631440193331
"2024-05-23","2025-05-27","XLK",0.723742691012855
"2024-06-25","2025-06-26","XLK",0.77749292139015
"2024-07-25","2025-07-28","XLK",0.748805371012728
"2024-08-23","2025-08-26","XLK",0.734211765783951
"2024-09-24","2025-09-25","XLK",0.684020487553154
"2024-10-23","2025-10-24","XLK",0.721028673514439
"2024-11-21","2025-11-24","XLK",0.748811626895537
"2024-12-23","2025-12-24","XLK",0.729213186815468
"2025-01-27","2026-01-27","XLK",0.702911381131715
"2025-02-26","2026-02-26","XLK",0.721009510134384
"2025-03-27","2026-03-27","XLK",0.658041526624485
